Modules
Internship
Information Assurance and Security
Social Issues and Professional Practice
Wireless Technologies and Network Programming
Advanced Mathematics for Computing
IT Project Management
IT Audit and Control
Enterprise Architecture
Advanced Routing and Switching
Service provider systems and networks
Cryptography
Computer Networks
Systems Analysis and Design
Statistics for Computing
Development of Enterprise Applications I
Human-Computer Interaction
Network Management
Voice and Video over IP
Network systems configuration and administration
Network Security
Operating Systems
CN Honours Award Project
Platform-Based Development
Data Warehousing and Data Mining
Internet of Things
Business Policy and Strategy
Enterprise Networks
E-Business Application Development
Entrepreneurship
Management Information Systems
Embedded Systems
Disaster Recovery and High availability Techniques
Intrusion Prevention
Detection & Response
Parallel and Distributed Computing
