Modules
Internship
Information Assurance and Security
Social Issues and Professional Practice
Wireless Technologies and Network Programming
Advanced Mathematics for Computing
Computational Theory
Programming Languages and Compiler Design
Advanced Database Management Systems
Cryptography
Mobile Application Development
Software Process Management
Computer Networks
Systems Analysis and Design
Statistics for Computing
Development of Enterprise Applications I
Human-Computer Interaction
Business Processes and ERP
Introduction to Software Engineering
Software Architecture
Algorithms and Complexity
Operating Systems
