Modules
Internship
Information Assurance and Security
Social Issues and Professional Practice
Software Verification and Validation
Advanced Mathematics for Computing
Advanced Database Management Systems
Mobile Application Development
Software Process Management
IT Project Management
Computer Networks
Systems Analysis and Design
Statistics for Computing
Development of Enterprise Applications I
Human-Computer Interaction
Business Processes and ERP
Introduction to Software Engineering
Software Architecture
Algorithms and Complexity
Operating Systems
SE Honours Award Project
Platform-Based Development
Data Warehousing and Data Mining
Internet of Things
Business Policy and Strategy
Enterprise Networks
E-Business Application Development
Agent-Based Systems
Management Information Systems
Development of Enterprise Applications II
Computer Graphics and Visualization
Artificial Intelligence
Parallel and Distributed Computing
Embedded Systems
