Modules
Internship
Information Assurance and Security
Social Issues and Professional Practice
Wireless Technologies and Network Programming
IT Project Management
IT Audit and Control
Advanced Database Management Systems
Enterprise Architecture
Software Quality Assurance
Mobile Application Development
Software Process Management
Computer Networks
Systems Analysis and Design
Statistics for Computing
Development of Enterprise Applications I
Human-Computer Interaction
Business Processes and ERP
Introduction to Software Engineering
Software Architecture
Algorithms and Complexity
Operating Systems
MIS Special Award Project
Platform-Based Development
Data Warehousing and Data Mining
Internet of Things
Business Policy and Strategy
Enterprise Networks
E-Business Application Development
Agent-Based Systems
Entrepreneurship
Management Information Systems
Development of Enterprise Applications II
Disaster Recovery and High availability Techniques
Business Analytics
