Modules
Web Mining
Advanced Statistics for Data Science
Data Warehousing & Data Mining
Data Visualization
Advanced database Management Systems
Information Assurance and Security
Internship
Cloud Computing
Machine Learning
Mobile Application Development
Big Data Analytics
Introduction to Data Science
Human Computer Interaction
Data Programming with R
Statistics for Data Science
Introduction to Software Engineering
Development of Enterprise Applications I
System Fundamentals
Algorithms and Complexity
Data Science in Python
Ethics in Data Science
Natural Language Processing
Neural Networks
Big Data Programming
DS Honors Award Project
Urban Computing
Artificial Intelligence
Data Science Trends and Applications
Deep Learning
Parallel and Distributed Computing
Internet of Things
Development of Enterprise Applications II
